"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\FeaturePagesControllers\BookMarkController.dart", "Dart", 124, 0, 8, 132
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\FeaturePagesControllers\LecturesSearchController.dart", "Dart", 143, 0, 10, 153
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\FeaturePagesControllers\RecentLectureController.dart", "Dart", 102, 1, 8, 111
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\MainPagesControllers\HomePageController.dart", "Dart", 36, 0, 6, 42
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\MainPagesControllers\SettingsController.dart", "Dart", 124, 1, 10, 135
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\MainPagesControllers\StaticsPageController.dart", "Dart", 104, 0, 8, 112
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\NormalUsePagesControllers\LecturePageController.dart", "Dart", 711, 0, 46, 757
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\NormalUsePagesControllers\LectureViewController.dart", "Dart", 183, 1, 14, 198
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\NormalUsePagesControllers\MainPageController.dart", "Dart", 63, 0, 10, 73
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\NormalUsePagesControllers\SubjectsPageController.dart", "Dart", 334, 2, 28, 364
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\NormalUsePagesControllers\introductionController.dart", "Dart", 110, 1, 14, 125
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\settingsPagesController\FastModeController.dart", "Dart", 148, 0, 17, 165
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\settingsPagesController\ProfileController.dart", "Dart", 150, 0, 13, 163
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\settingsPagesController\advancedFeaturesController.dart", "Dart", 155, 0, 10, 165
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\settingsPagesController\advancedfeaturescontrollers\create_exam_controller.dart", "Dart", 300, 0, 21, 321
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\settingsPagesController\app_data_controller.dart", "Dart", 184, 0, 9, 193
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\settingsPagesController\degreesPageController.dart", "Dart", 187, 1, 14, 202
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\controller\settingsPagesController\musicController.dart", "Dart", 106, 0, 11, 117
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\Constant\AppColors.dart", "Dart", 24, 0, 2, 26
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\Constant\ConstLists\YearsLists.dart", "Dart", 21, 0, 2, 23
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\Constant\HiveData\HiveKeysBoxes.dart", "Dart", 37, 0, 2, 39
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\Constant\static_data.dart", "Dart", 12, 0, 2, 14
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\Routes\routes.dart", "Dart", 90, 0, 3, 93
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\class\HandleData.dart", "Dart", 27, 0, 2, 29
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\class\HandleLectureState.dart", "Dart", 47, 0, 3, 50
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\class\app_toasts.dart", "Dart", 24, 0, 2, 26
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\class\enums\ChooseIconState.dart", "Dart", 1, 0, 1, 2
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\class\enums\DataState.dart", "Dart", 1, 0, 1, 2
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\class\enums\LectureState.dart", "Dart", 1, 0, 1, 2
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\class\enums\data_back_up_state.dart", "Dart", 1, 0, 1, 2
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\class\enums\lectures_dial_state.dart", "Dart", 1, 0, 1, 2
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\functions\Dialogs\CreatePdfDialog.dart", "Dart", 67, 0, 4, 71
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\functions\Dialogs\DegreesDialog.dart", "Dart", 61, 0, 4, 65
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\functions\Dialogs\ExitDialog.dart", "Dart", 33, 0, 4, 37
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\functions\Dialogs\LecturesDialogs.dart", "Dart", 125, 0, 5, 130
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\functions\Dialogs\MusicInfoDialog.dart", "Dart", 31, 0, 3, 34
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\functions\Dialogs\SettingsDialogs.dart", "Dart", 33, 0, 2, 35
"c:\Users\atlas\Documents\Flutter Projects\unversityapp\lib\core\functions\Dialogs\subjectsDialogs.dart", "Dart", 88, 2, 7, 97
